userID,qID,ratings
1,1,3.5
1,2,4.5
1,3,2.0
1,4,5.0
1,5,3.5
1,6,2.5
1,7,1.5
1,8,4.5
1,9,1.0
1,10,2.5
1,11,3.5
1,12,1.5
1,13,2.5
1,14,3.5
1,15,4.5
1,16,5.0
1,17,1.0
1,18,2.0
1,19,5.0
1,20,4.0
1,21,5.0
1,22,5.0
1,23,5.0
1,24,5.0
1,25,5.0
2,1,3.5
2,2,4.0
2,3,5.0
2,4,3.5
2,5,5.0
2,6,3.5
2,7,1.0
2,8,5.0
2,9,5.0
2,10,4.5
2,11,4.0
2,12,1.0
2,13,1.5
2,14,3.0
2,15,4.5
2,16,2.0
2,17,2.5
2,18,2.0
2,19,1.0
2,20,1.5
2,21,2.0
2,22,3.0
2,23,3.5
2,24,2.0
2,25,1.5
3,1,3.0
3,2,2.5
3,3,2.5
3,4,1.5
3,5,5.0
3,6,2.0
3,7,3.5
3,8,4.0
3,9,4.5
3,10,5.0
3,11,5.0
3,12,3.0
3,13,1.5
3,14,1.0
3,15,1.0
3,16,5.0
3,17,3.0
3,18,3.5
3,19,3.0
3,20,2.5
3,21,5.0
3,22,1.5
3,23,3.0
3,24,3.0
3,25,1.0
4,1,2.0
4,2,3.5
4,3,3.0
4,4,1.5
4,5,4.5
4,6,5.0
4,7,3.5
4,8,2.5
4,8,5.0
4,9,4.0
4,10,2.5
4,11,3.0
4,12,3.0
4,13,5.0
4,14,5.0
4,15,1.0
4,16,1.5
4,17,1.5
4,18,3.0
4,19,2.5
4,20,2.5
4,21,5.0
4,22,5.0
4,23,5.0
4,24,5.0
4,25,5.0
5,1,1.5
5,2,2.0
5,3,2.0
5,4,1.0
5,5,3.0
5,6,4.0
5,7,4.5
5,8,5.0
5,9,1.5
5,10,2.5
5,11,3.0
5,12,3.5
5,13,3.0
5,14,4.5
5,15,3.0
5,16,5.0
5,17,3.0
5,18,2.0
5,19,1.0
5,20,2.5
5,21,4.0
5,22,3.5
5,23,4.0
5,24,5.0
5,25,5.0
6,1,1.0
6,2,1.5
6,3,1.5
6,4,3.0
6,5,2.5
6,6,2.5
6,7,3.5
6,8,3.5
6,9,3.0
6,10,4.0
6,11,4.5
6,12,1.5
6,13,2.0
6,14,2.0
6,15,1.0
6,16,3.0
6,17,4.0
6,18,4.5
6,19,5.0
6,20,1.5
6,21,2.5
6,22,3.0
6,23,3.5
6,24,3.0
6,25,4.5
7,1,1.0
7,2,2.0
7,3,3.5
7,4,3.0
7,5,1.5
7,6,4.5
7,7,5.0
7,8,3.5
7,9,2.5
7,10,5.0
7,11,4.0
7,12,2.5
7,13,3.0
7,14,3.0
7,15,5.0
7,16,5.0
7,17,1.0
7,18,1.5
7,19,1.5
7,20,3.0
7,21,2.5
7,22,2.5
7,23,3.5
7,24,3.5
7,25,3.0
8,1,4.0
8,2,4.5
8,3,5.0
8,4,3.5
8,5,2.5
8,6,5.0
8,7,4.0
8,8,2.5
8,9,3.0
8,10,3.0
8,11,5.0
8,12,5.0
8,13,1.0
8,14,1.5
8,15,1.5
8,16,3.0
8,17,2.5
8,18,2.5
8,19,3.5
8,20,5.0
8,21,4.0
8,22,2.5
8,23,3.0
8,24,3.0
8,25,5.0
8,1,5.0
9,2,1.0
9,3,1.5
9,4,1.5
9,5,3.0
9,6,2.5
9,7,2.5
9,8,3.5
9,9,3.5
9,10,3.0
9,11,4.0
9,12,4.5
9,13,1.5
9,14,2.0
9,15,2.0
9,16,1.0
9,17,3.0
9,18,4.0
9,19,5.0
9,20,4.0
9,21,2.5
9,22,3.0
9,23,3.0
9,24,5.0
9,25,5.0
10,1,1.0
10,2,1.5
10,3,1.5
10,4,3.0
10,5,2.5
10,6,2.5
10,7,3.5
10,8,3.5
10,9,3.0
10,10,4.0
10,11,4.5
10,12,1.5
10,13,2.0
10,14,2.0
10,15,1.0
10,16,3.0
10,17,4.0
10,18,2.5
10,19,3.0
10,20,3.0
10,21,5.0
10,22,5.0
10,23,1.0
10,24,1.5
10,25,1.5
11,1,3.0
11,2,2.5
11,3,2.5
11,4,3.5
11,5,3.5
11,6,3.0
11,7,4.0
11,8,4.5
11,9,1.5
11,10,2.0
11,11,2.0
11,12,1.0
11,13,3.0
11,14,4.0
11,15,5.0
11,16,4.0
11,17,2.5
11,18,3.0
11,19,3.0
11,20,5.0
11,21,5.0
11,22,1.0
11,23,1.5
11,24,1.5
11,25,3.0
12,1,2.5
12,2,2.5
12,3,3.5
12,4,3.5
12,5,3.0
12,6,4.0
12,7,4.5
12,8,1.5
12,9,2.0
12,10,2.0
12,11,1.0
12,12,3.0
12,13,4.0
12,14,5.0
12,15,5.0
12,16,1.0
12,17,1.5
12,18,1.5
12,19,3.0
12,20,2.5
12,21,2.5
12,22,3.5
12,23,3.5
12,24,3.0
12,25,4.0
13,1,4.5
13,2,1.5
13,3,2.0
13,4,2.0
13,5,1.0
13,6,3.0
13,7,4.0
13,8,4.5
13,9,5.0
13,10,3.5
13,11,2.5
13,12,5.0
13,13,4.0
13,14,2.5
13,15,3.0
13,16,3.0
13,17,5.0
13,18,5.0
13,19,1.0
13,20,1.5
13,21,1.5
13,22,3.0
13,23,2.5
13,24,2.5
13,25,3.5
14,1,3.5
14,2,3.0
14,3,4.0
14,4,4.5
14,5,5.0
14,6,3.5
14,7,2.5
14,8,5.0
14,9,4.0
14,10,2.5
14,11,3.0
14,12,3.0
14,13,5.0
14,14,5.0
14,15,1.0
14,16,1.5
14,17,1.5
14,18,3.0
14,19,2.5
14,20,2.5
14,21,3.5
14,22,3.5
14,23,3.0
14,24,4.0
14,25,4.5
15,1,5.0
15,2,3.5
15,3,2.5
15,4,5.0
15,5,1.5
15,6,2.0
15,7,2.0
15,8,1.0
15,9,3.0
15,10,4.0
15,11,4.5
15,12,5.0
15,13,3.5
315,14,2.5
15,15,5.0
15,16,4.0
15,17,2.5
15,18,3.0
15,19,3.0
15,20,5.0
15,21,5.0
15,22,1.0
15,23,1.5
15,24,1.5
15,25,3.0
16,1,2.5
16,2,2.5
16,3,3.5
16,4,3.5
16,5,3.0
16,6,4.0
16,7,4.5
16,8,5.0
16,9,3.5
16,10,2.5
16,11,5.0
16,12,1.5
16,13,2.0
16,14,2.0
16,15,2.5
16,16,5.0
16,17,4.0
16,18,2.5
16,19,3.0
16,20,3.0
16,21,5.0
16,22,5.0
16,23,1.0
16,24,1.5
16,25,1.5
17,1,3.0
17,2,2.5
17,3,2.5
17,4,3.5
17,5,3.5
17,6,3.0
17,7,4.0
17,8,4.5
17,9,3.0
17,10,2.5
17,11,2.5
17,12,3.5
17,13,3.5
17,14,3.0
17,15,4.0
17,16,4.5
17,17,5.0
17,18,3.5
17,19,2.5
17,20,5.0
17,21,1.5
17,22,2.0
17,23,2.0
17,24,2.5
17,25,5.0
18,1,4.0
18,2,2.5
18,3,3.0
18,4,3.0
18,5,5.0
18,6,5.0
18,7,1.0
18,8,1.5
18,9,1.5
18,10,3.0
18,11,2.5
18,12,2.0
18,13,2.0
18,14,1.0
18,15,3.0
18,16,4.0
18,17,4.5
18,18,5.0
18,19,3.5
18,20,2.5
18,21,5.0
